class,leftX,leftY,leftZ,rightX,rightY,rightZ
3,-844.6172,122.0864,1801.562,234.8391,382.1989,1955.143
3,-839.4498,121.8363,1800.26,243.2197,383.597,1954.022
3,-836.0742,121.1547,1798.187,247.0372,384.9943,1951.803
3,-831.2637,120.9103,1796.734,252.4885,384.4911,1953.788
3,-825.8982,117.3215,1800.154,252.0304,385.0416,1948.471
3,-819.3425,115.7986,1800.056,254.4863,382.6519,1946.332
3,-821.1736,113.7417,1803.339,259.0394,383.5114,1943.99
3,-820.7966,111.2567,1803.224,259.1452,385.6104,1941.172
3,-819.0375,111.6766,1802.584,261.1545,386.1942,1940.754
3,-819.2226,107.7653,1805.899,258.6359,386.8831,1939.954
3,-818.2728,107.6553,1804.921,252.1902,384.889,1940.588
3,-817.4303,108.4285,1802.497,256.0033,384.135,1941.501
3,-817.991,108.8517,1801.765,253.8165,388.2387,1945.039
3,-856.6738,114.6556,1798.61,251.2281,384.517,1943.483
3,-702.5621,88.15944,1784.956,276.4715,377.3183,1946.813
3,-714.4236,100.4139,1780.145,277.1913,378.5376,1947.134
3,-740.8399,104.9932,1774.958,277.6506,380.7705,1947.256
3,-795.7849,119.7939,1779.43,278.0369,378.7885,1946.031
3,-799.4089,117.3782,1782.246,277.4796,374.4616,1946.839
3,-796.506,115.2204,1785.349,278.3839,372.3329,1946.965
3,-795.5984,110.4098,1791.207,276.4877,372.0451,1945.596
3,-792.4113,106.7509,1794.678,280.6513,374.9409,1950.758
3,-792.3771,104.2465,1802.632,284.4794,375.1246,1954.878
3,-789.6179,100.5277,1806.989,288.6404,372.6169,1959.205
3,-788.9929,98.11608,1811.586,290.7361,367.4518,1961.024
3,-785.873,96.92809,1814.664,292.7691,363.0328,1962.442
3,-784.7872,98.34344,1817.574,294.8151,361.2349,1966.444
3,-786.0625,98.29884,1819.951,295.2933,363.0063,1973.304
3,-787.0043,99.29552,1823.259,289.8498,362.3538,1976.451
3,-787.7136,100.3206,1825.463,294.3444,356.7008,1984.089
3,-788.7422,100.8257,1826.5,285.9132,352.934,1984.692
3,-790.6901,100.8822,1829.871,283.351,354.5431,1993.115
3,-793.5555,98.62115,1832.011,283.5061,352.082,1999.144
3,-799.8027,96.54612,1837.095,282.6724,351.8936,2000.686
3,-803.6112,96.66933,1835.59,278.9717,349.214,2004.073
3,-810.4691,96.78302,1838.324,278.6803,351.3623,2010.273
3,-811.6084,93.03053,1837.559,278.7726,356.1482,2016.8
3,-815.094,88.18395,1836.277,276.4394,351.4423,2014.164
3,-814.8974,88.32124,1834.894,278.2525,350.7418,2016.15
3,-815.3888,86.76197,1837.467,282.3035,350.7665,2020.021
3,-815.7089,86.91448,1837.954,281.4511,345.8426,2019.894
3,-814.5884,89.25739,1844.912,280.9567,346.8749,2025.445
3,-811.4064,88.95941,1848.648,283.3626,347.6791,2029.064
3,-806.6931,89.81799,1852.022,283.1092,346.7926,2031.031
3,-804.1992,91.99788,1855.586,283.6135,341.5995,2030.636
3,-797.0659,89.58001,1857.797,281.4397,342.8124,2032.891
3,-792.1686,90.86715,1861.395,287.4356,344.6977,2035.027
3,-791.6562,88.3282,1863.695,292.0912,344.954,2039.67
3,-787.6079,87.77538,1865.499,294.9997,346.4277,2039.624
3,-558.1917,133.9249,1885.808,494.8892,378.5912,2005.436
3,-557.7661,134.7393,1882.858,500.1939,378.4006,2003.839
3,-553.4171,136.6045,1883.174,503.0808,383.4202,2006.438
3,-544.3189,139.2915,1879.045,508.972,388.4129,2006.993
3,-538.0915,137.6536,1875.009,513.2888,392.1144,2010.23
3,-579.0965,151.8303,1881.567,513.2847,387.8198,2006.719
3,-417.6942,93.40401,1850.644,510.9982,388.1642,2002.341
3,-419.2698,95.30932,1846.038,503.0385,387.8866,2000.731
3,-419.5459,94.77576,1844.207,501.268,383.1965,2000.425
3,-433.7993,103.0031,1836.752,503.1623,380.3546,1999.244
3,-425.929,97.26176,1836.171,497.5737,383.3462,1998.502
3,-425.1988,98.09691,1837.873,496.3393,382.7518,2001.925
3,-438.254,105.3725,1826.17,494.5935,379.6534,1997.102
3,-439.1645,108.6774,1822.478,498.0819,378.8288,1999.896
3,-433.1232,110.7683,1823.68,501.1366,375.6247,1999.865
3,-428.3203,112.2052,1823.255,503.8056,377.6684,2001.28
3,-425.0324,116.9503,1823.938,512.154,375.781,1999.801
3,-426.6934,119.66,1821.081,514.7639,372.1264,1999.053
3,-447.9529,136.3737,1819.052,524.3936,367.1609,2002.681
3,-515.17,167.1296,1829.751,533.8068,370.3302,2004.662
3,-514.0551,167.9527,1831.03,540.1728,378.2377,2008.562
3,-509.5845,168.2561,1829.873,551.0636,375.7739,2005.899
3,-505.9556,166.5889,1829.57,552.4005,370.1238,1998.993
3,-500.8122,163.6958,1831.292,564.8846,369.8935,1997.828
3,-491.5569,163.6043,1830.797,571.7199,377.453,1997.809
3,-482.0741,160.7777,1827.032,582.037,378.3816,1998.026
3,-477.0424,159.191,1827.035,587.7003,373.0611,1994.313
3,-470.0834,157.938,1828.868,591.031,369.5177,1991.027
3,-463.6012,156.051,1832.808,599.6927,368.6194,1990.432
3,-452.9502,152.6914,1828.352,607.3154,375.5803,1993.541
3,-440.0057,147.8344,1831.523,613.6984,378.4271,1994.169
3,-431.3438,151.7821,1833.46,620.3,377.6129,1993.887
3,-428.2233,153.0994,1836.035,625.1479,377.0923,1995.05
3,-424.646,152.6871,1838.269,629.3778,376.0985,1996.636
3,-417.7572,147.4046,1838.451,636.1834,376.2313,1995.452
